,RGBI_anom,RGBI_cp
0,2009-02-09,2009-02-13
1,2009-02-13,2009-07-16
2,2009-02-27,2009-10-07
3,2009-04-01,2009-10-22
4,2009-04-07,2009-10-28
5,2009-04-30,2009-11-09
6,2009-05-05,2009-11-27
7,2009-05-29,2010-05-13
8,2009-07-16,2010-08-27
9,2009-08-21,2010-09-08
10,2009-09-10,2011-01-31
11,2009-09-28,2011-04-20
12,2009-09-30,2011-05-19
13,2009-10-06,2011-06-01
14,2009-10-07,2011-07-12
15,2009-10-22,2011-09-28
16,2009-11-06,2011-11-01
17,2009-11-26,2012-02-10
18,2009-11-27,2012-03-19
19,2010-01-11,2012-05-14
20,2010-01-12,2012-06-06
21,2010-03-16,2012-07-02
22,2010-03-17,2012-07-23
23,2010-04-09,2012-08-10
24,2010-04-12,2012-09-04
25,2010-05-06,2012-10-23
26,2010-05-13,2012-11-21
27,2010-06-24,2012-12-12
28,2010-07-01,2013-02-27
29,2010-07-08,2013-03-18
30,2010-07-29,2013-04-08
31,2010-08-06,2013-05-21
32,2010-09-03,2013-06-14
33,2010-09-08,2013-06-27
34,2010-11-16,2013-07-25
35,2010-12-13,2013-11-11
36,2011-01-31,2013-11-28
37,2011-03-17,2013-12-04
38,2011-04-04,2013-12-09
39,2011-04-12,2014-03-03
40,2011-04-13,2014-03-17
41,2011-04-19,2014-05-08
42,2011-05-19,2014-06-16
43,2011-06-01,2014-06-30
44,2011-07-11,2014-07-17
45,2011-07-12,2014-08-11
46,2011-08-05,2014-08-19
47,2011-08-09,2014-10-31
48,2011-08-10,2014-12-17
49,2011-09-23,2015-01-15
50,2011-09-27,2015-02-24
51,2011-09-28,2015-04-15
52,2011-10-27,2015-04-30
53,2011-11-01,2015-07-28
54,2011-11-29,2015-08-25
55,2011-11-30,2015-11-12
56,2011-12-01,2016-01-12
57,2012-01-12,2016-01-22
58,2012-01-24,2016-03-17
59,2012-02-09,2016-03-24
60,2012-02-10,2016-09-12
61,2012-02-20,2016-10-19
62,2012-03-19,2016-12-15
63,2012-04-04,2017-01-26
64,2012-04-09,2017-03-22
65,2012-05-14,2017-06-28
66,2012-06-01,2017-09-28
67,2012-06-06,2017-10-17
68,2012-07-02,2017-11-13
69,2012-07-23,2017-12-15
70,2012-09-04,2018-01-03
71,2012-09-10,2018-01-31
72,2012-10-05,2018-02-27
73,2012-10-23,2018-04-12
74,2012-11-19,2018-06-20
75,2012-11-20,2018-07-18
76,2012-11-21,2018-08-02
77,2013-01-09,2018-08-09
78,2013-01-10,2018-09-12
79,2013-03-18,2018-11-14
80,2013-03-20,2018-12-20
81,2013-03-28,2019-04-29
82,2013-04-05,2019-06-13
83,2013-04-08,2019-06-21
84,2013-04-15,2019-08-21
85,2013-05-13,2019-10-07
86,2013-05-21,2019-10-31
87,2013-06-14,2019-11-11
88,2013-06-24,2019-12-12
89,2013-06-27,2020-03-24
90,2013-07-25,2020-05-18
91,2013-08-22,2020-06-04
92,2013-09-11,2020-06-10
93,2013-11-11,2020-10-01
94,2013-12-04,2020-10-15
95,2013-12-09,2020-11-06
96,2014-01-09,2021-01-11
97,2014-01-27,2021-06-11
98,2014-02-04,2021-07-21
99,2014-03-03,2021-09-20
100,2014-03-12,2021-10-08
101,2014-03-17,2021-10-22
102,2014-03-18,2022-01-19
103,2014-04-25,2022-02-25
104,2014-06-16,2022-03-22
105,2014-06-30,2022-04-11
106,2014-07-17,2022-05-26
107,2014-08-11,2022-07-07
108,2014-08-12,2022-09-27
109,2014-08-28,2022-11-10
110,2014-09-03,2023-01-09
111,2014-09-04,
112,2014-11-10,
113,2014-11-25,
114,2014-12-16,
115,2014-12-17,
116,2015-01-15,
117,2015-02-20,
118,2015-02-24,
119,2015-03-26,
120,2015-04-15,
121,2015-06-04,
122,2015-06-10,
123,2015-07-21,
124,2015-07-28,
125,2015-07-29,
126,2015-08-24,
127,2015-08-25,
128,2015-10-07,
129,2015-11-05,
130,2015-11-12,
131,2015-11-23,
132,2015-11-24,
133,2016-01-11,
134,2016-01-12,
135,2016-01-22,
136,2016-03-11,
137,2016-03-17,
138,2016-03-24,
139,2016-04-29,
140,2016-05-19,
141,2016-05-20,
142,2016-06-06,
143,2016-06-24,
144,2016-08-22,
145,2016-09-09,
146,2016-09-12,
147,2016-09-21,
148,2016-10-19,
149,2016-11-11,
150,2016-12-15,
151,2017-01-16,
152,2017-01-19,
153,2017-01-25,
154,2017-01-26,
155,2017-01-27,
156,2017-03-06,
157,2017-03-22,
158,2017-04-10,
159,2017-04-21,
160,2017-04-24,
161,2017-05-05,
162,2017-06-16,
163,2017-07-24,
164,2017-09-01,
165,2017-09-27,
166,2017-09-28,
167,2017-10-27,
168,2017-11-13,
169,2017-11-16,
170,2017-12-15,
171,2018-01-11,
172,2018-01-30,
173,2018-01-31,
174,2018-02-26,
175,2018-02-27,
176,2018-04-10,
177,2018-04-12,
178,2018-06-05,
179,2018-06-18,
180,2018-06-19,
181,2018-06-20,
182,2018-07-17,
183,2018-07-18,
184,2018-08-02,
185,2018-08-08,
186,2018-08-09,
187,2018-08-22,
188,2018-09-11,
189,2018-09-12,
190,2018-10-04,
191,2018-10-16,
192,2018-11-14,
193,2018-12-20,
194,2019-01-09,
195,2019-01-31,
196,2019-02-14,
197,2019-02-15,
198,2019-03-21,
