Date,High,Low,Volume,Adj Close
2009-01-11,102.21,102.21,,102.21
2009-01-12,102.21,102.21,,102.21
2009-01-13,102.21,102.21,,102.21
2009-01-14,102.21,102.21,,102.21
2009-01-15,102.21,101.74,,101.74
2009-01-16,102.01,101.74,,101.97
2009-01-19,101.97,101.97,,101.97
2009-01-20,101.97,101.82,,101.82
2009-01-21,101.82,101.82,,101.82
2009-01-22,102.1,101.81,,102.04
2009-01-23,102.04,99.93,,99.93
2009-01-26,99.93,99.93,,99.93
2009-01-27,100.19,98.14,,99.33
2009-01-28,99.33,99.33,,99.33
2009-01-29,99.33,99.33,,99.33
2009-01-30,100.48,99.33,,100.48
2009-02-02,100.48,100.48,,100.48
2009-02-03,100.74,100.25,,100.33
2009-02-04,100.33,100.33,,100.33
2009-02-05,100.33,100.02,,100.28
2009-02-06,100.52,100.28,,100.52
2009-02-09,100.52,92.97,,92.97
2009-02-10,92.97,92.63,,92.63
2009-02-11,92.63,92.18,,92.18
2009-02-12,96.89,92.18,,94.77
2009-02-13,98.39,94.77,,98.39
2009-02-16,98.39,96.5,,96.5
2009-02-17,96.5,96.47,,96.47
2009-02-18,96.47,96.39,,96.39
2009-02-19,96.58,96.39,,96.58
2009-02-20,97.9,96.58,,97.82
2009-02-24,101.72,97.82,,101.7
2009-02-25,101.7,99.86,,99.93
2009-02-26,101.51,99.93,,101.51
2009-02-27,108.13,101.51,,108.13
2009-03-02,108.13,108.1,,108.1
2009-03-03,108.14,108.0,,108.0
2009-03-04,108.0,107.4,,107.4
2009-03-05,107.95,107.4,,107.95
2009-03-06,107.95,107.86,,107.86
2009-03-10,108.46,107.86,,108.46
2009-03-11,108.47,108.46,,108.47
2009-03-12,109.21,108.47,,109.21
2009-03-13,109.26,109.05,,109.09
2009-03-16,109.09,108.88,,108.98
2009-03-17,109.37,108.98,,109.37
2009-03-18,109.47,109.37,,109.47
2009-03-19,109.55,109.41,,109.55
2009-03-20,110.79,109.55,,110.78
2009-03-23,110.78,110.53,,110.69
2009-03-24,110.89,110.31,,110.31
2009-03-25,110.32,108.91,,108.91
2009-03-26,109.45,108.91,,109.38
2009-03-27,110.39,109.38,,110.39
2009-03-30,110.88,110.39,,110.88
2009-03-31,113.47,110.88,,112.18
2009-04-01,112.18,105.19,,105.19
2009-04-02,105.19,104.98,,105.06
2009-04-03,105.13,105.0,,105.13
2009-04-06,105.13,104.39,,104.75
2009-04-07,108.54,104.75,,108.24
2009-04-08,108.35,108.0,,108.13
2009-04-09,108.13,106.6,,106.83
2009-04-10,106.86,106.46,,106.48
2009-04-13,107.12,106.48,,107.09
2009-04-14,107.09,107.06,,107.08
2009-04-15,107.0,106.8,,106.8
2009-04-16,106.81,106.65,,106.8
2009-04-17,106.8,106.75,,106.77
2009-04-20,106.84,106.48,,106.49
2009-04-21,107.7,107.53,,107.53
2009-04-22,107.55,107.55,,107.55
2009-04-23,107.55,107.18,,107.19
2009-04-24,107.22,107.22,,107.22
2009-04-27,107.2,106.93,,106.93
2009-04-28,106.94,106.94,,106.94
2009-04-29,107.32,106.99,,107.32
2009-04-30,114.5,113.53,,114.16
2009-05-04,114.23,114.23,,114.23
2009-05-05,106.62,105.99,,106.13
2009-05-06,106.13,105.73,,106.05
2009-05-07,106.04,106.01,,106.02
2009-05-08,106.02,105.91,,105.91
2009-05-12,106.21,105.92,,106.21
2009-05-13,106.24,106.22,,106.24
2009-05-14,106.28,106.05,,106.06
2009-05-15,107.98,106.07,,107.98
2009-05-18,109.8,108.22,,109.8
2009-05-19,109.8,109.48,,109.48
