"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"11.01.2009","102,21","102,21","102,21","102,21","","0,00%"
"12.01.2009","102,21","102,21","102,21","102,21","","0,00%"
"13.01.2009","102,21","102,21","102,21","102,21","","0,00%"
"14.01.2009","102,21","102,21","102,21","102,21","","0,00%"
"15.01.2009","101,74","102,21","102,21","101,74","","-0,46%"
"16.01.2009","101,97","101,74","102,01","101,74","","0,23%"
"19.01.2009","101,97","101,97","101,97","101,97","","0,00%"
"20.01.2009","101,82","101,97","101,97","101,82","","-0,15%"
"21.01.2009","101,82","101,82","101,82","101,82","","0,00%"
"22.01.2009","102,04","101,82","102,10","101,81","","0,22%"
"23.01.2009","99,93","102,04","102,04","99,93","","-2,07%"
"26.01.2009","99,93","99,93","99,93","99,93","","0,00%"
"27.01.2009","99,33","99,93","100,19","98,14","","-0,60%"
"28.01.2009","99,33","99,33","99,33","99,33","","0,00%"
"29.01.2009","99,33","99,33","99,33","99,33","","0,00%"
"30.01.2009","100,48","99,33","100,48","99,33","","1,16%"
"02.02.2009","100,48","100,48","100,48","100,48","","0,00%"
"03.02.2009","100,33","100,48","100,74","100,25","","-0,15%"
"04.02.2009","100,33","100,33","100,33","100,33","","0,00%"
"05.02.2009","100,28","100,33","100,33","100,02","","-0,05%"
"06.02.2009","100,52","100,28","100,52","100,28","","0,24%"
"09.02.2009","92,97","100,52","100,52","92,97","","-7,51%"
"10.02.2009","92,63","92,97","92,97","92,63","","-0,37%"
"11.02.2009","92,18","92,63","92,63","92,18","","-0,49%"
"12.02.2009","94,77","92,18","96,89","92,18","","2,81%"
"13.02.2009","98,39","94,77","98,39","94,77","","3,82%"
"16.02.2009","96,50","98,39","98,39","96,50","","-1,92%"
"17.02.2009","96,47","96,50","96,50","96,47","","-0,03%"
"18.02.2009","96,39","96,47","96,47","96,39","","-0,08%"
"19.02.2009","96,58","96,39","96,58","96,39","","0,20%"
"20.02.2009","97,82","96,58","97,90","96,58","","1,28%"
"24.02.2009","101,70","97,82","101,72","97,82","","3,97%"
"25.02.2009","99,93","101,70","101,70","99,86","","-1,74%"
"26.02.2009","101,51","99,93","101,51","99,93","","1,58%"
"27.02.2009","108,13","101,51","108,13","101,51","","6,52%"
"02.03.2009","108,10","108,13","108,13","108,10","","-0,03%"
"03.03.2009","108,00","108,10","108,14","108,00","","-0,09%"
"04.03.2009","107,40","108,00","108,00","107,40","","-0,56%"
"05.03.2009","107,95","107,40","107,95","107,40","","0,51%"
"06.03.2009","107,86","107,95","107,95","107,86","","-0,08%"
"10.03.2009","108,46","107,86","108,46","107,86","","0,56%"
"11.03.2009","108,47","108,46","108,47","108,46","","0,01%"
"12.03.2009","109,21","108,47","109,21","108,47","","0,68%"
"13.03.2009","109,09","109,21","109,26","109,05","","-0,11%"
"16.03.2009","108,98","109,09","109,09","108,88","","-0,10%"
"17.03.2009","109,37","108,98","109,37","108,98","","0,36%"
"18.03.2009","109,47","109,37","109,47","109,37","","0,09%"
"19.03.2009","109,55","109,47","109,55","109,41","","0,07%"
"20.03.2009","110,78","109,55","110,79","109,55","","1,12%"
"23.03.2009","110,69","110,78","110,78","110,53","","-0,08%"
"24.03.2009","110,31","110,69","110,89","110,31","","-0,34%"
"25.03.2009","108,91","110,31","110,32","108,91","","-1,27%"
"26.03.2009","109,38","108,91","109,45","108,91","","0,43%"
"27.03.2009","110,39","109,38","110,39","109,38","","0,92%"
"30.03.2009","110,88","110,39","110,88","110,39","","0,44%"
"31.03.2009","112,18","110,88","113,47","110,88","","1,17%"
"01.04.2009","105,19","112,18","112,18","105,19","","-6,23%"
"02.04.2009","105,06","105,19","105,19","104,98","","-0,12%"
"03.04.2009","105,13","105,06","105,13","105,00","","0,07%"
"06.04.2009","104,75","105,13","105,13","104,39","","-0,36%"
"07.04.2009","108,24","104,75","108,54","104,75","","3,33%"
"08.04.2009","108,13","108,24","108,35","108,00","","-0,10%"
"09.04.2009","106,83","108,13","108,13","106,60","","-1,20%"
"10.04.2009","106,48","106,83","106,86","106,46","","-0,33%"
"13.04.2009","107,09","106,48","107,12","106,48","","0,57%"
"14.04.2009","107,08","107,06","107,09","107,06","","-0,01%"
"15.04.2009","106,80","107,00","107,00","106,80","","-0,26%"
"16.04.2009","106,80","106,65","106,81","106,65","","0,00%"
"17.04.2009","106,77","106,80","106,80","106,75","","-0,03%"
"20.04.2009","106,49","106,82","106,84","106,48","","-0,26%"
"21.04.2009","107,53","107,57","107,70","107,53","","0,98%"
"22.04.2009","107,55","107,55","107,55","107,55","","0,02%"
"23.04.2009","107,19","107,55","107,55","107,18","","-0,33%"
"24.04.2009","107,22","107,22","107,22","107,22","","0,03%"
"27.04.2009","106,93","107,20","107,20","106,93","","-0,27%"
"28.04.2009","106,94","106,94","106,94","106,94","","0,01%"
"29.04.2009","107,32","106,99","107,32","106,99","","0,36%"
"30.04.2009","114,16","113,54","114,50","113,53","","6,37%"
"04.05.2009","114,23","114,23","114,23","114,23","","0,06%"
"05.05.2009","106,13","106,56","106,62","105,99","","-7,09%"
"06.05.2009","106,05","106,13","106,13","105,73","","-0,08%"
"07.05.2009","106,02","106,04","106,04","106,01","","-0,03%"
"08.05.2009","105,91","106,02","106,02","105,91","","-0,10%"
"12.05.2009","106,21","105,92","106,21","105,92","","0,28%"
"13.05.2009","106,24","106,22","106,24","106,22","","0,03%"
"14.05.2009","106,06","106,28","106,28","106,05","","-0,17%"
"15.05.2009","107,98","106,09","107,98","106,07","","1,81%"
"18.05.2009","109,80","108,24","109,80","108,22","","1,69%"
"19.05.2009","109,48","109,80","109,80","109,48","","-0,29%"
"20.05.2009","108,20","109,48","109,48","107,96","","-1,17%"
"21.05.2009","108,17","108,20","108,21","108,17","","-0,03%"
"22.05.2009","107,75","108,15","108,15","107,75","","-0,39%"
"25.05.2009","107,75","107,75","107,75","107,75","","0,00%"
"26.05.2009","106,71","107,75","107,75","106,62","","-0,97%"
"27.05.2009","106,82","106,71","106,83","106,71","","0,10%"
"28.05.2009","106,82","106,83","106,83","106,82","","0,00%"
"29.05.2009","114,75","114,42","114,76","114,40","","7,42%"
"01.06.2009","114,75","114,74","114,75","114,74","","0,00%"
"02.06.2009","114,70","114,92","114,92","114,67","","-0,04%"
"03.06.2009","114,89","114,80","114,89","114,80","","0,17%"
"04.06.2009","114,63","114,80","115,05","114,63","","-0,23%"
"05.06.2009","115,12","114,30","115,12","114,30","","0,43%"
"08.06.2009","114,96","114,95","114,96","114,95","","-0,14%"
"09.06.2009","114,88","114,96","114,96","114,88","","-0,07%"
"10.06.2009","114,94","114,87","114,95","114,87","","0,05%"
"11.06.2009","115,00","114,90","115,01","114,90","","0,05%"
"15.06.2009","114,99","114,87","114,99","114,86","","-0,01%"
"16.06.2009","115,02","115,32","115,32","115,02","","0,03%"
"17.06.2009","114,95","114,86","114,99","114,86","","-0,06%"
"18.06.2009","115,00","114,99","115,00","114,99","","0,04%"
"19.06.2009","114,94","114,99","115,00","114,94","","-0,05%"
"22.06.2009","114,97","114,97","114,97","114,97","","0,03%"
"23.06.2009","114,90","114,93","114,93","114,90","","-0,06%"
"24.06.2009","114,87","114,87","114,87","114,87","","-0,03%"
"25.06.2009","114,87","114,87","114,87","114,84","","0,00%"
"26.06.2009","114,85","114,80","114,85","114,80","","-0,02%"
"29.06.2009","114,93","114,86","114,95","114,86","","0,07%"
"30.06.2009","114,96","115,12","115,12","114,59","","0,03%"
"01.07.2009","115,05","115,06","115,06","114,38","","0,08%"
"02.07.2009","115,11","115,09","115,11","115,09","","0,05%"
"03.07.2009","115,16","115,12","115,16","115,12","","0,04%"
"06.07.2009","115,05","115,12","115,12","115,05","","-0,10%"
"07.07.2009","115,11","115,05","115,12","115,05","","0,05%"
"08.07.2009","115,11","114,98","115,11","114,98","","0,00%"
"09.07.2009","115,13","115,11","115,13","115,11","","0,02%"
"10.07.2009","115,14","115,12","115,14","115,09","","0,01%"
"13.07.2009","115,14","115,14","115,14","115,14","","0,00%"
"14.07.2009","115,13","115,12","115,13","115,12","","-0,01%"
"15.07.2009","115,21","115,18","115,21","115,18","","0,07%"
"16.07.2009","115,46","115,02","115,46","115,02","","0,22%"
"17.07.2009","115,48","115,20","115,48","115,20","","0,02%"
"20.07.2009","115,61","115,20","115,61","115,20","","0,11%"
"21.07.2009","115,75","115,37","115,86","115,37","","0,12%"
"22.07.2009","115,76","115,34","115,78","115,34","","0,01%"
"23.07.2009","115,89","115,89","115,91","115,88","","0,11%"
"24.07.2009","115,81","115,75","115,81","115,72","","-0,07%"
"27.07.2009","115,80","115,80","115,80","115,80","","-0,01%"
"28.07.2009","115,87","115,87","115,87","115,87","","0,06%"
"29.07.2009","115,88","115,95","115,95","115,83","","0,01%"
"30.07.2009","115,87","115,89","115,89","115,87","","-0,01%"
"31.07.2009","115,96","115,96","115,96","115,96","","0,08%"
"03.08.2009","116,05","115,96","116,09","115,96","","0,08%"
"04.08.2009","116,06","116,05","116,09","116,05","","0,01%"
"05.08.2009","116,12","116,08","116,18","116,08","","0,05%"
"06.08.2009","116,11","116,12","116,12","116,09","","-0,01%"
"07.08.2009","116,11","116,10","116,11","116,09","","0,00%"
"10.08.2009","116,17","116,11","116,17","116,11","","0,05%"
"11.08.2009","116,12","116,16","116,20","116,11","","-0,04%"
"12.08.2009","116,06","116,12","116,12","116,05","","-0,05%"
"13.08.2009","116,01","116,06","116,08","115,96","","-0,04%"
"14.08.2009","115,89","115,91","115,95","115,86","","-0,10%"
"17.08.2009","115,92","115,89","115,92","115,89","","0,03%"
"18.08.2009","115,80","115,87","115,87","115,72","","-0,10%"
