Date,Value
2008-01-31,12.56
2008-02-29,12.66
2008-03-31,13.35
2008-04-30,14.3
2008-05-31,15.12
2008-06-30,15.14
2008-07-31,14.73
2008-08-31,15.04
2008-09-30,15.05
2008-10-31,14.23
2008-11-30,13.78
2008-12-31,13.28
2009-01-31,13.35
2009-02-28,13.85
2009-03-31,13.98
2009-04-30,13.16
2009-05-31,12.28
2009-06-30,11.87
2009-07-31,12.01
2009-08-31,11.6
2009-09-30,10.69
2009-10-31,9.69
2009-11-30,9.1
2009-12-31,8.8
2010-01-31,8.02
2010-02-28,7.18
2010-03-31,6.46
2010-04-30,6.04
2010-05-31,5.97
2010-06-30,5.74
2010-07-31,5.46
2010-08-31,6.04
2010-09-30,6.96
2010-10-31,7.5
2010-11-30,8.06
2010-12-31,8.78
2011-01-31,9.56
2011-02-28,9.47
2011-03-31,9.46
2011-04-30,9.61
2011-05-31,9.59
2011-06-30,9.42
2011-07-31,9.01
2011-08-31,8.16
2011-09-30,7.21
2011-10-31,7.19
2011-11-30,6.78
2011-12-31,6.1
2012-01-31,4.16
2012-02-29,3.74
2012-03-31,3.7
2012-04-30,3.57
2012-05-31,3.61
2012-06-30,4.3
2012-07-31,5.59
2012-08-31,5.95
2012-09-30,6.58
2012-10-31,6.55
2012-11-30,6.47
2012-12-31,6.58
2013-01-31,7.07
2013-02-28,7.28
2013-03-31,7.02
2013-04-30,7.23
2013-05-31,7.38
2013-06-30,6.88
2013-07-31,6.45
2013-08-31,6.49
2013-09-30,6.13
2013-10-31,6.25
2013-11-30,6.48
2013-12-31,6.45
2014-01-31,6.05
2014-02-28,6.2
2014-03-31,6.92
2014-04-30,7.33
2014-05-31,7.59
2014-06-30,7.8
2014-07-31,7.45
2014-08-31,7.56
2014-09-30,8.03
2014-10-31,8.3
2014-11-30,9.07
2014-12-31,11.36
2015-01-31,14.97
2015-02-28,16.71
2015-03-31,16.93
2015-04-30,16.42
2015-05-31,15.78
2015-06-30,15.29
2015-07-31,15.64
2015-08-31,15.77
2015-09-30,15.68
2015-10-31,15.59
2015-11-30,14.98
2015-12-31,12.91
2016-01-31,9.77
2016-02-29,8.06
2016-03-31,7.26
2016-04-30,7.24
2016-05-31,7.3
2016-06-30,7.48
2016-07-31,7.21
2016-08-31,6.84
2016-09-30,6.42
2016-10-31,6.09
2016-11-30,5.76
2016-12-31,5.38
2017-01-31,5.02
2017-02-28,4.59
2017-03-31,4.25
2017-04-30,4.13
2017-05-31,4.09
2017-06-30,4.35
2017-07-31,3.86
2017-08-31,3.29
2017-09-30,2.96
2017-10-31,2.73
2017-11-30,2.5
2017-12-31,2.52
2018-01-31,2.21
2018-02-28,2.2
2018-03-31,2.36
2018-04-30,2.41
2018-05-31,2.42
2018-06-30,2.3
2018-07-31,2.5
2018-08-31,3.07
2018-09-30,3.39
2018-10-31,3.55
2018-11-30,3.83
2018-12-31,4.27
2019-01-31,5.0
2019-02-28,5.24
2019-03-31,5.27
2019-04-30,5.17
2019-05-31,5.13
2019-06-30,4.66
2019-07-31,4.59
2019-08-31,4.33
2019-09-30,3.99
2019-10-31,3.77
2019-11-30,3.54
2019-12-31,3.05
2020-01-31,2.42
2020-02-29,2.31
2020-03-31,2.55
2020-04-30,3.1
2020-05-31,3.03
2020-06-30,3.21
2020-07-31,3.37
2020-08-31,3.57
2020-09-30,3.67
2020-10-31,3.98
2020-11-30,4.42
2020-12-31,4.91
2021-01-31,5.19
2021-02-28,5.67
2021-03-31,5.78
2021-04-30,5.52
2021-05-31,6.01
2021-06-30,6.51
2021-07-31,6.47
2021-08-31,6.69
2021-09-30,7.41
2021-10-31,8.14
2021-11-30,8.4
2021-12-31,8.39
2022-01-31,8.74
2022-02-28,9.16
2022-03-31,16.7
2022-04-30,17.83
2022-05-31,17.11
2022-06-30,15.9
2022-07-31,15.09
2022-08-31,14.3
2022-09-30,13.67
2022-10-31,12.63
2022-11-30,11.97
2022-12-31,
