,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,12.56,13.35,8.02,9.56,4.16,7.07,6.05,14.97,9.77,5.02,2.21,5.0,2.42,5.19,8.74
2,12.66,13.85,7.18,9.47,3.74,7.28,6.2,16.71,8.06,4.59,2.2,5.24,2.31,5.67,9.16
3,13.35,13.98,6.46,9.46,3.7,7.02,6.92,16.93,7.26,4.25,2.36,5.27,2.55,5.78,16.7
4,14.3,13.16,6.04,9.61,3.57,7.23,7.33,16.42,7.24,4.13,2.41,5.17,3.1,5.52,17.83
5,15.12,12.28,5.97,9.59,3.61,7.38,7.59,15.78,7.3,4.09,2.42,5.13,3.03,6.01,17.11
6,15.14,11.87,5.74,9.42,4.3,6.88,7.8,15.29,7.48,4.35,2.3,4.66,3.21,6.51,15.9
7,14.73,12.01,5.46,9.01,5.59,6.45,7.45,15.64,7.21,3.86,2.5,4.59,3.37,6.47,15.09
8,15.04,11.6,6.04,8.16,5.95,6.49,7.56,15.77,6.84,3.29,3.07,4.33,3.57,6.69,14.3
9,15.05,10.69,6.96,7.21,6.58,6.13,8.03,15.68,6.42,2.96,3.39,3.99,3.67,7.41,13.67
10,14.23,9.69,7.5,7.19,6.55,6.25,8.3,15.59,6.09,2.73,3.55,3.77,3.98,8.14,12.63
11,13.78,9.1,8.06,6.78,6.47,6.48,9.07,14.98,5.76,2.5,3.83,3.54,4.42,8.4,11.97
12,13.28,8.8,8.78,6.1,6.58,6.45,11.36,12.91,5.38,2.52,4.27,3.05,4.91,8.39,
Total,13.28,8.8,8.78,6.1,6.58,6.45,11.36,12.91,5.38,2.52,4.27,3.05,4.91,8.39,11.06
