,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,2.31,2.37,1.64,2.37,0.5,0.97,0.59,3.85,0.96,0.62,0.31,1.01,0.4,0.67,0.99
2,1.2,1.65,0.86,0.78,0.37,0.56,0.7,2.22,0.63,0.22,0.21,0.44,0.33,0.78,1.17
3,1.2,1.31,0.63,0.62,0.58,0.34,1.02,1.21,0.46,0.13,0.29,0.32,0.55,0.66,7.61
4,1.42,0.69,0.29,0.43,0.31,0.51,0.9,0.46,0.44,0.33,0.38,0.29,0.83,0.58,1.56
5,1.35,0.57,0.5,0.48,0.52,0.66,0.9,0.35,0.41,0.37,0.38,0.34,0.27,0.74,0.12
6,0.97,0.6,0.39,0.23,0.89,0.42,0.62,0.19,0.36,0.61,0.49,0.04,0.22,0.69,-0.35
7,0.51,0.63,0.36,-0.01,1.23,0.82,0.49,0.8,0.54,0.07,0.27,0.2,0.35,0.31,-0.39
8,0.36,0.0,0.55,-0.24,0.1,0.14,0.24,0.35,0.01,-0.54,0.01,-0.24,-0.04,0.17,-0.52
9,0.8,-0.03,0.84,-0.04,0.55,0.21,0.65,0.57,0.17,-0.15,0.16,-0.16,-0.07,0.6,0.05
10,0.91,0.0,0.5,0.48,0.46,0.57,0.82,0.74,0.43,0.2,0.35,0.13,0.43,1.11,0.18
11,0.83,0.29,0.81,0.42,0.34,0.56,1.28,0.75,0.44,0.22,0.5,0.28,0.71,0.96,0.37
12,0.69,0.41,1.08,0.44,0.54,0.51,2.62,0.77,0.4,0.42,0.84,0.36,0.83,0.82,
Total,13.28,8.8,8.78,6.1,6.58,6.45,11.36,12.91,5.38,2.52,4.27,3.05,4.91,8.39,11.06
