Date,Value
2008-01-31,102.31
2008-02-29,101.2
2008-03-31,101.2
2008-04-30,101.42
2008-05-31,101.35
2008-06-30,100.97
2008-07-31,100.51
2008-08-31,100.36
2008-09-30,100.8
2008-10-31,100.91
2008-11-30,100.83
2008-12-31,100.69
2009-01-31,102.37
2009-02-28,101.65
2009-03-31,101.31
2009-04-30,100.69
2009-05-31,100.57
2009-06-30,100.6
2009-07-31,100.63
2009-08-31,100.0
2009-09-30,99.97
2009-10-31,100.0
2009-11-30,100.29
2009-12-31,100.41
2010-01-31,101.64
2010-02-28,100.86
2010-03-31,100.63
2010-04-30,100.29
2010-05-31,100.5
2010-06-30,100.39
2010-07-31,100.36
2010-08-31,100.55
2010-09-30,100.84
2010-10-31,100.5
2010-11-30,100.81
2010-12-31,101.08
2011-01-31,102.37
2011-02-28,100.78
2011-03-31,100.62
2011-04-30,100.43
2011-05-31,100.48
2011-06-30,100.23
2011-07-31,99.99
2011-08-31,99.76
2011-09-30,99.96
2011-10-31,100.48
2011-11-30,100.42
2011-12-31,100.44
2012-01-31,100.5
2012-02-29,100.37
2012-03-31,100.58
2012-04-30,100.31
2012-05-31,100.52
2012-06-30,100.89
2012-07-31,101.23
2012-08-31,100.1
2012-09-30,100.55
2012-10-31,100.46
2012-11-30,100.34
2012-12-31,100.54
2013-01-31,100.97
2013-02-28,100.56
2013-03-31,100.34
2013-04-30,100.51
2013-05-31,100.66
2013-06-30,100.42
2013-07-31,100.82
2013-08-31,100.14
2013-09-30,100.21
2013-10-31,100.57
2013-11-30,100.56
2013-12-31,100.51
2014-01-31,100.59
2014-02-28,100.7
2014-03-31,101.02
2014-04-30,100.9
2014-05-31,100.9
2014-06-30,100.62
2014-07-31,100.49
2014-08-31,100.24
2014-09-30,100.65
2014-10-31,100.82
2014-11-30,101.28
2014-12-31,102.62
2015-01-31,103.85
2015-02-28,102.22
2015-03-31,101.21
2015-04-30,100.46
2015-05-31,100.35
2015-06-30,100.19
2015-07-31,100.8
2015-08-31,100.35
2015-09-30,100.57
2015-10-31,100.74
2015-11-30,100.75
2015-12-31,100.77
2016-01-31,100.96
2016-02-29,100.63
2016-03-31,100.46
2016-04-30,100.44
2016-05-31,100.41
2016-06-30,100.36
2016-07-31,100.54
2016-08-31,100.01
2016-09-30,100.17
2016-10-31,100.43
2016-11-30,100.44
2016-12-31,100.4
2017-01-31,100.62
2017-02-28,100.22
2017-03-31,100.13
2017-04-30,100.33
2017-05-31,100.37
2017-06-30,100.61
2017-07-31,100.07
2017-08-31,99.46
2017-09-30,99.85
2017-10-31,100.2
2017-11-30,100.22
2017-12-31,100.42
2018-01-31,100.31
2018-02-28,100.21
2018-03-31,100.29
2018-04-30,100.38
2018-05-31,100.38
2018-06-30,100.49
2018-07-31,100.27
2018-08-31,100.01
2018-09-30,100.16
2018-10-31,100.35
2018-11-30,100.5
2018-12-31,100.84
2019-01-31,101.01
2019-02-28,100.44
2019-03-31,100.32
2019-04-30,100.29
2019-05-31,100.34
2019-06-30,100.04
2019-07-31,100.2
2019-08-31,99.76
2019-09-30,99.84
2019-10-31,100.13
2019-11-30,100.28
2019-12-31,100.36
2020-01-31,100.4
2020-02-29,100.33
2020-03-31,100.55
2020-04-30,100.83
2020-05-31,100.27
2020-06-30,100.22
2020-07-31,100.35
2020-08-31,99.96
2020-09-30,99.93
2020-10-31,100.43
2020-11-30,100.71
2020-12-31,100.83
2021-01-31,100.67
2021-02-28,100.78
2021-03-31,100.66
2021-04-30,100.58
2021-05-31,100.74
2021-06-30,100.69
2021-07-31,100.31
2021-08-31,100.17
2021-09-30,100.6
2021-10-31,101.11
2021-11-30,100.96
2021-12-31,100.82
2022-01-31,100.99
2022-02-28,101.17
2022-03-31,107.61
2022-04-30,101.56
2022-05-31,100.12
2022-06-30,99.65
2022-07-31,99.61
2022-08-31,99.48
2022-09-30,100.05
2022-10-31,100.18
2022-11-30,100.37
2022-12-31,
