index,AVG_price
2022-01-03,21206.814485981307
2022-01-04,21206.814485981307
2022-01-05,21206.814485981307
2022-01-06,21206.814485981307
2022-01-10,21206.814485981307
2022-01-11,21215.597336448598
2022-01-12,21224.38018691589
2022-01-13,21233.16303738318
2022-01-14,21241.94588785047
2022-01-17,21256.875981308414
2022-01-18,21271.80607476636
2022-01-19,21286.736168224303
2022-01-20,21301.666261682247
2022-01-21,21316.59635514019
2022-01-24,21323.08661682243
2022-01-25,21329.57687850467
2022-01-26,21336.06714018691
2022-01-27,21342.55740186915
2022-01-28,21349.04766355139
2022-01-31,21362.775308411205
2022-02-01,21376.502953271018
2022-02-02,21390.23059813083
2022-02-03,21403.958242990644
2022-02-04,21417.685887850457
2022-02-07,21425.614093457934
2022-02-08,21433.54229906541
2022-02-09,21441.47050467289
2022-02-10,21449.398710280366
2022-02-11,21457.326915887843
2022-02-14,21467.03353271027
2022-02-15,21476.740149532696
2022-02-16,21486.446766355122
2022-02-17,21496.15338317755
2022-02-18,21505.859999999975
2022-02-21,21521.18170560745
2022-02-22,21536.50341121493
2022-02-24,21551.82511682241
2022-02-25,21567.146822429888
2022-03-21,22857.907850467273
2022-03-22,24148.668878504657
2022-03-23,25439.429906542042
2022-03-24,26730.190934579427
2022-03-25,28020.95196261681
2022-03-28,27957.81216822429
2022-03-29,27894.672373831767
2022-03-30,27831.532579439245
2022-03-31,27768.392785046723
2022-04-01,27705.2529906542
2022-04-04,27787.108785046723
2022-04-05,27868.964579439245
2022-04-06,27950.820373831768
2022-04-07,28032.67616822429
2022-04-08,28114.531962616813
2022-04-11,28118.395308411207
2022-04-12,28122.2586542056
2022-04-13,28126.121999999996
2022-04-14,28129.98534579439
2022-04-15,28133.848691588784
2022-04-18,28150.012056074764
2022-04-19,28166.175420560743
2022-04-20,28182.338785046722
2022-04-21,28198.502149532702
2022-04-22,28214.66551401868
2022-04-25,28216.812224299058
2022-04-26,28218.958934579434
2022-04-27,28221.10564485981
2022-04-28,28223.252355140186
2022-04-29,28225.399065420563
2022-05-04,28220.048940809967
2022-05-05,28214.698816199372
2022-05-06,28209.348691588777
2022-05-11,28211.709190031146
2022-05-12,28214.069688473515
2022-05-13,28216.430186915884
2022-05-16,28226.486317757004
2022-05-17,28236.542448598124
2022-05-18,28246.598579439244
2022-05-19,28256.654710280363
2022-05-20,28266.710841121483
2022-05-23,28267.895439252326
2022-05-24,28269.08003738317
2022-05-25,28270.264635514013
2022-05-26,28271.449233644857
2022-05-27,28272.6338317757
2022-05-30,28271.500710280372
2022-05-31,28270.367588785044
2022-06-01,28269.234467289716
