Дата,RGBi
2009-01-11,102.21
2009-01-12,102.21
2009-01-13,102.21
2009-01-14,102.21
2009-01-15,101.74
2009-01-16,101.97
2009-01-19,101.97
2009-01-20,101.82
2009-01-21,101.82
2009-01-22,102.04
2009-01-23,99.93
2009-01-26,99.93
2009-01-27,99.33
2009-01-28,99.33
2009-01-29,99.33
2009-01-30,100.48
2009-02-02,100.48
2009-02-03,100.33
2009-02-04,100.33
2009-02-05,100.28
2009-02-06,100.52
2009-02-09,92.97
2009-02-10,92.63
2009-02-11,92.18
2009-02-12,94.77
2009-02-13,98.39
2009-02-16,96.5
2009-02-17,96.47
2009-02-18,96.39
2009-02-19,96.58
2009-02-20,97.82
2009-02-24,101.7
2009-02-25,99.93
2009-02-26,101.51
2009-02-27,108.13
2009-03-02,108.1
2009-03-03,108.0
2009-03-04,107.4
2009-03-05,107.95
2009-03-06,107.86
2009-03-10,108.46
2009-03-11,108.47
2009-03-12,109.21
2009-03-13,109.09
2009-03-16,108.98
2009-03-17,109.37
2009-03-18,109.47
2009-03-19,109.55
2009-03-20,110.78
2009-03-23,110.69
2009-03-24,110.31
2009-03-25,108.91
2009-03-26,109.38
2009-03-27,110.39
2009-03-30,110.88
2009-03-31,112.18
2009-04-01,105.19
2009-04-02,105.06
2009-04-03,105.13
2009-04-06,104.75
2009-04-07,108.24
2009-04-08,108.13
2009-04-09,106.83
2009-04-10,106.48
2009-04-13,107.09
2009-04-14,107.08
2009-04-15,106.8
2009-04-16,106.8
2009-04-17,106.77
2009-04-20,106.49
2009-04-21,107.53
2009-04-22,107.55
2009-04-23,107.19
2009-04-24,107.22
2009-04-27,106.93
2009-04-28,106.94
2009-04-29,107.32
2009-04-30,114.16
2009-05-04,114.23
2009-05-05,106.13
2009-05-06,106.05
2009-05-07,106.02
2009-05-08,105.91
2009-05-12,106.21
2009-05-13,106.24
2009-05-14,106.06
2009-05-15,107.98
2009-05-18,109.8
2009-05-19,109.48
2009-05-20,108.2
2009-05-21,108.17
2009-05-22,107.75
2009-05-25,107.75
2009-05-26,106.71
2009-05-27,106.82
2009-05-28,106.82
2009-05-29,114.75
2009-06-01,114.75
2009-06-02,114.7
2009-06-03,114.89
2009-06-04,114.63
2009-06-05,115.12
2009-06-08,114.96
2009-06-09,114.88
2009-06-10,114.94
2009-06-11,115.0
2009-06-15,114.99
2009-06-16,115.02
2009-06-17,114.95
2009-06-18,115.0
2009-06-19,114.94
2009-06-22,114.97
2009-06-23,114.9
2009-06-24,114.87
2009-06-25,114.87
2009-06-26,114.85
2009-06-29,114.93
2009-06-30,114.96
2009-07-01,115.05
2009-07-02,115.11
2009-07-03,115.16
2009-07-06,115.05
2009-07-07,115.11
2009-07-08,115.11
2009-07-09,115.13
2009-07-10,115.14
2009-07-13,115.14
2009-07-14,115.13
2009-07-15,115.21
2009-07-16,115.46
2009-07-17,115.48
2009-07-20,115.61
2009-07-21,115.75
2009-07-22,115.76
2009-07-23,115.89
2009-07-24,115.81
2009-07-27,115.8
2009-07-28,115.87
2009-07-29,115.88
2009-07-30,115.87
2009-07-31,115.96
2009-08-03,116.05
2009-08-04,116.06
2009-08-05,116.12
2009-08-06,116.11
2009-08-07,116.11
2009-08-10,116.17
2009-08-11,116.12
2009-08-12,116.06
2009-08-13,116.01
2009-08-14,115.89
2009-08-17,115.92
2009-08-18,115.8
2009-08-19,115.87
2009-08-20,115.85
2009-08-21,116.1
2009-08-24,116.07
2009-08-25,116.0
2009-08-26,116.17
2009-08-27,116.46
2009-08-28,116.52
2009-08-31,116.73
2009-09-01,116.61
2009-09-02,116.97
2009-09-03,116.84
2009-09-04,116.92
2009-09-07,116.96
2009-09-08,117.25
2009-09-09,117.56
2009-09-10,118.26
2009-09-11,118.56
2009-09-14,118.49
2009-09-15,118.55
2009-09-16,118.59
2009-09-17,118.76
2009-09-18,118.79
2009-09-21,118.79
2009-09-22,118.86
2009-09-23,119.05
2009-09-24,119.02
2009-09-25,119.02
2009-09-28,118.79
2009-09-29,118.94
2009-09-30,119.34
2009-10-01,119.55
2009-10-02,119.52
2009-10-05,119.73
2009-10-06,120.68
2009-10-07,122.37
2009-10-08,123.3
2009-10-09,123.26
2009-10-12,123.42
2009-10-13,123.7
2009-10-14,124.86
2009-10-15,125.11
2009-10-16,125.44
2009-10-19,125.35
2009-10-20,125.49
2009-10-21,125.81
2009-10-22,125.24
2009-10-23,125.77
2009-10-26,125.78
2009-10-27,125.28
2009-10-28,124.72
2009-10-29,124.83
2009-10-30,124.87
2009-11-02,124.91
2009-11-03,124.79
2009-11-05,124.63
2009-11-06,125.33
2009-11-09,125.74
2009-11-10,125.82
2009-11-11,125.87
2009-11-12,126.13
2009-11-13,126.14
2009-11-16,126.27
2009-11-17,126.37
2009-11-18,126.7
2009-11-19,126.86
2009-11-20,126.87
2009-11-23,127.0
2009-11-24,127.37
2009-11-25,127.92
2009-11-26,127.17
2009-11-27,126.73
2009-11-30,127.0
2009-12-01,127.49
2009-12-02,127.57
2009-12-03,127.84
2009-12-04,127.7
2009-12-07,127.63
2009-12-08,127.34
2009-12-09,127.3
2009-12-10,127.45
2009-12-11,127.54
2009-12-14,127.46
2009-12-15,127.52
2009-12-16,127.56
2009-12-17,127.53
2009-12-18,127.56
2009-12-21,127.58
2009-12-22,127.53
2009-12-23,127.6
2009-12-24,127.79
2009-12-25,128.06
2009-12-28,128.06
2009-12-29,127.89
2009-12-30,127.53
2010-01-11,130.32
2010-01-12,129.02
2010-01-13,129.68
2010-01-14,128.88
2010-01-15,129.87
2010-01-18,130.12
2010-01-19,130.3
2010-01-20,131.02
2010-01-21,131.17
2010-01-22,131.03
2010-01-25,130.75
2010-01-26,130.93
2010-01-27,130.75
2010-01-28,131.22
2010-01-29,130.67
2010-02-01,130.69
2010-02-02,130.85
2010-02-03,131.35
2010-02-04,131.07
2010-02-05,131.07
2010-02-08,131.3
2010-02-09,131.3
2010-02-10,131.17
2010-02-11,131.17
2010-02-12,131.23
2010-02-15,131.2
2010-02-16,131.26
2010-02-17,131.39
2010-02-18,131.41
2010-02-19,131.55
2010-02-24,131.3
2010-02-25,131.46
2010-02-26,131.51
2010-02-27,131.62
2010-03-01,131.78
2010-03-02,132.19
2010-03-03,132.86
2010-03-04,133.16
2010-03-05,133.16
2010-03-09,133.07
2010-03-10,133.14
2010-03-11,133.42
2010-03-12,133.75
2010-03-15,133.86
2010-03-16,131.85
2010-03-17,134.33
2010-03-18,134.44
2010-03-19,134.6
2010-03-22,134.4
2010-03-23,134.57
2010-03-24,134.44
2010-03-25,134.47
2010-03-26,134.6
2010-03-29,134.35
2010-03-30,134.37
2010-03-31,134.64
2010-04-01,134.92
2010-04-02,135.16
2010-04-05,135.27
2010-04-06,135.39
2010-04-07,135.4
2010-04-08,135.35
2010-04-09,133.92
2010-04-12,135.44
2010-04-13,135.42
2010-04-14,135.38
2010-04-15,135.34
2010-04-16,135.14
2010-04-19,134.98
2010-04-20,135.03
2010-04-21,134.71
2010-04-22,134.56
2010-04-23,134.24
2010-04-26,134.25
2010-04-27,133.49
2010-04-28,133.14
2010-04-29,133.41
2010-04-30,133.45
2010-05-04,133.01
2010-05-05,132.0
2010-05-06,129.55
2010-05-07,129.36
2010-05-11,129.5
2010-05-12,130.15
2010-05-13,133.29
2010-05-14,133.05
2010-05-17,133.05
2010-05-18,133.24
2010-05-19,132.23
2010-05-20,132.04
2010-05-21,132.56
2010-05-24,131.91
2010-05-25,131.34
2010-05-26,131.28
2010-05-27,131.66
2010-05-28,132.11
2010-05-31,131.95
2010-06-01,132.57
2010-06-02,132.39
2010-06-03,132.61
2010-06-04,132.51
2010-06-07,132.5
2010-06-08,132.43
2010-06-09,132.61
2010-06-10,132.77
2010-06-11,132.97
2010-06-15,133.05
2010-06-16,133.05
2010-06-17,133.11
2010-06-18,133.21
2010-06-21,133.11
2010-06-22,133.28
2010-06-23,133.3
2010-06-24,133.16
2010-06-25,133.08
2010-06-28,132.98
2010-06-29,132.92
2010-06-30,132.96
2010-07-01,132.71
2010-07-02,132.81
2010-07-05,132.8
2010-07-06,132.77
2010-07-07,132.81
2010-07-08,133.03
2010-07-09,132.93
2010-07-12,132.92
2010-07-13,132.85
2010-07-14,132.8
2010-07-15,132.9
2010-07-16,132.83
2010-07-19,132.85
2010-07-20,132.83
2010-07-21,132.89
2010-07-22,132.95
2010-07-23,133.01
2010-07-26,133.03
2010-07-27,133.09
2010-07-28,133.07
2010-07-29,132.95
2010-07-30,132.94
2010-08-02,132.97
2010-08-03,133.05
2010-08-04,133.13
2010-08-05,133.05
2010-08-06,132.94
2010-08-09,132.88
2010-08-10,132.8
2010-08-11,132.8
2010-08-12,132.75
2010-08-13,132.67
2010-08-16,132.6
2010-08-17,132.48
2010-08-18,132.53
2010-08-19,132.55
2010-08-20,132.51
2010-08-23,132.41
2010-08-24,132.37
2010-08-25,132.27
2010-08-26,132.27
2010-08-27,132.36
2010-08-30,132.31
2010-08-31,132.33
2010-09-01,132.32
2010-09-02,132.26
2010-09-03,131.56
2010-09-06,131.58
2010-09-07,131.58
2010-09-08,132.14
2010-09-09,132.15
2010-09-10,132.28
2010-09-13,132.0
2010-09-14,132.0
2010-09-15,131.95
2010-09-16,131.64
2010-09-17,131.72
2010-09-20,131.72
2010-09-21,131.53
2010-09-22,131.76
2010-09-23,131.78
