,USD
2009-01-01,29.157
2009-01-02,29.404
2009-01-05,29.157
2009-01-06,29.158
2009-01-07,29.155
2009-01-08,29.39
2009-01-09,29.155
2009-01-12,31.081
2009-01-13,31.293
2009-01-14,31.759
2009-01-15,32.256
2009-01-16,32.489
2009-01-19,33.237
2009-01-20,33.023
2009-01-21,32.543
2009-01-22,32.65
2009-01-23,32.859
2009-01-26,32.827
2009-01-27,33.061
2009-01-28,33.95
2009-01-29,35.0
2009-01-30,35.763
2009-02-02,36.098
2009-02-03,35.969
2009-02-04,36.255
2009-02-05,36.36
2009-02-06,36.17
2009-02-09,35.834
2009-02-10,35.849
2009-02-11,35.186
2009-02-12,34.645
2009-02-13,34.625
2009-02-16,35.214
2009-02-17,36.328
2009-02-18,36.311
2009-02-19,35.867
2009-02-20,35.888
2009-02-23,36.108
2009-02-24,35.848
2009-02-25,35.826
2009-02-26,35.748
2009-02-27,35.925
2009-03-02,36.169
2009-03-03,36.222
2009-03-04,35.979
2009-03-05,35.863
2009-03-06,35.783
2009-03-09,35.659
2009-03-10,35.074
2009-03-11,34.997
2009-03-12,34.984
2009-03-13,34.681
2009-03-16,34.642
2009-03-17,34.499
2009-03-18,33.935
2009-03-19,33.345
2009-03-20,33.505
2009-03-23,33.191
2009-03-24,33.493
2009-03-25,33.595
2009-03-26,33.416
2009-03-27,33.751
2009-03-30,33.971
2009-03-31,33.959
2009-04-01,33.89
2009-04-02,33.394
2009-04-03,33.308
2009-04-06,33.389
2009-04-07,33.55
2009-04-08,33.691
2009-04-09,33.638
2009-04-10,33.508
2009-04-13,33.289
2009-04-14,33.406
2009-04-15,33.417
2009-04-16,33.392
2009-04-17,33.463
2009-04-20,33.925
2009-04-21,34.194
2009-04-22,33.933
2009-04-23,33.475
2009-04-24,33.202
2009-04-27,33.506
2009-04-28,33.367
2009-04-29,33.173
2009-04-30,33.12
2009-05-01,33.063
2009-05-04,32.786
2009-05-05,32.859
2009-05-06,32.808
2009-05-07,32.582
2009-05-08,32.246
2009-05-11,32.235
2009-05-12,31.988
2009-05-13,31.933
2009-05-14,32.17
2009-05-15,32.017
2009-05-18,32.068
2009-05-19,31.8375
2009-05-20,31.442
2009-05-21,31.48
2009-05-22,30.952
2009-05-25,30.903
2009-05-26,31.3275
2009-05-27,31.056
2009-05-28,30.983
2009-05-29,30.656
2009-06-01,30.615
2009-06-02,30.5765
2009-06-03,30.751
2009-06-04,30.727
2009-06-05,30.926
2009-06-08,31.41
2009-06-09,31.046
2009-06-10,30.857
2009-06-11,30.88
2009-06-12,30.995
2009-06-15,31.191
2009-06-16,31.221
2009-06-17,31.27
2009-06-18,31.192
2009-06-19,30.943
2009-06-22,31.273
2009-06-23,31.229
2009-06-24,31.14
2009-06-25,31.207
2009-06-26,31.057
2009-06-29,31.105
2009-06-30,31.073
2009-07-01,31.0963
2009-07-02,31.129
2009-07-03,31.164
2009-07-06,31.344
2009-07-07,31.5871
2009-07-08,31.9071
2009-07-09,31.7375
2009-07-10,32.5933
2009-07-13,32.6777
2009-07-14,32.2618
2009-07-15,31.873
2009-07-16,31.576
2009-07-17,31.7765
2009-07-20,31.0255
2009-07-21,30.997
2009-07-22,31.1735
2009-07-23,31.204
2009-07-24,30.966
2009-07-27,30.6995
2009-07-28,31.0845
2009-07-29,31.577
2009-07-30,31.515
2009-07-31,31.54
2009-08-03,31.0562
2009-08-04,31.083
2009-08-05,31.158
2009-08-06,31.3175
2009-08-07,31.4876
2009-08-10,31.8007
2009-08-11,32.2159
2009-08-12,32.284
2009-08-13,31.6452
2009-08-14,31.698
2009-08-17,32.1851
2009-08-18,32.4043
2009-08-19,32.4043
2009-08-20,31.8051
2009-08-21,31.627
2009-08-24,31.591
2009-08-25,32.4043
2009-08-26,32.4043
2009-08-27,32.4043
2009-08-28,31.65
2009-08-31,32.4043
2009-09-01,32.4043
2009-09-02,32.4043
2009-09-03,32.4043
2009-09-04,31.6056
2009-09-07,32.4068
2009-09-08,32.4068
2009-09-09,32.4068
2009-09-10,30.8526
2009-09-11,30.6475
2009-09-14,32.4068
2009-09-15,30.8225
2009-09-16,32.4068
2009-09-17,30.317
2009-09-18,30.3038
2009-09-21,30.3765
2009-09-22,32.4068
2009-09-23,30.057
2009-09-24,30.1345
2009-09-25,30.1457
2009-09-28,30.1565
2009-09-29,30.0805
2009-09-30,30.0775
2009-10-01,30.109
2009-10-02,30.1845
2009-10-05,30.0055
2009-10-06,29.81
2009-10-07,29.7415
2009-10-08,29.5864
2009-10-09,29.63
2009-10-12,29.4865
2009-10-13,29.5362
2009-10-14,29.598
2009-10-15,29.4225
2009-10-16,29.4211
2009-10-19,29.313
2009-10-20,29.1528
2009-10-21,29.1838
2009-10-22,29.033
2009-10-23,28.9985
2009-10-26,28.8697
2009-10-27,29.221
2009-10-28,29.252
2009-10-29,29.176
2009-10-30,29.1562
2009-11-02,29.2475
2009-11-03,29.3148
2009-11-04,29.1425
2009-11-05,29.0074
2009-11-06,29.0385
2009-11-09,28.7372
2009-11-10,28.705
2009-11-11,28.673
2009-11-12,28.802
2009-11-13,28.8275
2009-11-16,28.667
2009-11-17,28.7837
2009-11-18,28.7207
2009-11-19,28.7907
2009-11-20,28.9898
2009-11-23,28.781
2009-11-24,28.7849
2009-11-25,28.79
2009-11-26,29.252
2009-11-27,29.3155
2009-11-30,29.2357
2009-12-01,29.0775
2009-12-02,29.354
2009-12-03,29.1798
2009-12-04,29.5403
2009-12-07,29.8688
2009-12-08,30.6576
2009-12-09,30.422
2009-12-10,30.3917
2009-12-11,30.0555
2009-12-14,30.0645
2009-12-15,30.1665
2009-12-16,30.234
2009-12-17,30.815
2009-12-18,30.49
2009-12-21,30.5469
2009-12-22,30.5705
2009-12-23,30.205
2009-12-24,29.599
2009-12-25,29.56
2009-12-28,29.725
2009-12-29,29.9237
2009-12-30,30.27
2009-12-31,30.1
2010-01-01,30.1
2010-01-04,30.3175
2010-01-05,30.1
2010-01-06,30.1
2010-01-07,30.1
2010-01-08,29.8685
2010-01-11,29.326
2010-01-12,29.572
2010-01-13,29.5535
2010-01-14,29.445
2010-01-15,29.5645
2010-01-18,29.601
2010-01-19,29.598
2010-01-20,29.764
2010-01-21,29.7187
2010-01-22,29.8665
2010-01-25,30.1141
2010-01-26,30.336
2010-01-27,30.327
2010-01-28,30.361
2010-01-29,30.3679
2010-02-01,30.295
2010-02-02,30.075
2010-02-03,29.9945
2010-02-04,30.175
2010-02-05,30.3655
2010-02-08,30.5305
2010-02-09,30.3425
2010-02-10,30.3091
2010-02-11,30.1439
2010-02-12,30.212
2010-02-15,30.229
2010-02-16,30.0067
2010-02-17,30.1232
2010-02-18,30.0383
2010-02-19,29.9647
2010-02-22,30.0195
2010-02-23,29.9885
2010-02-24,30.015
2010-02-25,30.0124
2010-02-26,29.935
2010-03-01,29.9651
2010-03-02,29.9863
2010-03-03,29.771
2010-03-04,29.8215
2010-03-05,29.8413
2010-03-08,29.7565
2010-03-09,29.736
2010-03-10,29.557
2010-03-11,29.456
2010-03-12,29.291
2010-03-15,29.424
2010-03-16,29.283
2010-03-17,29.174
2010-03-18,29.306
2010-03-19,29.34
2010-03-22,29.529
2010-03-23,29.541
2010-03-24,29.701
2010-03-25,29.607
2010-03-26,29.596
2010-03-29,29.486
2010-03-30,29.51
2010-03-31,29.434
2010-04-01,29.255
2010-04-02,29.245
2010-04-05,29.2
2010-04-06,29.325
